,Title,Rank,Year,Duration,Gener,Rating,Director,Star1,Star2,Star3,Star4,Votes,Year obj,label
1368,Babo 73,71,1964,57.0,Comedy,5.7,Robert Downey Sr.,Taylor Mead,Jim Antonio,Tom Gaines,James Greene,264,1960-1970,6.0
1369,The Curse of the Living Corpse,21,1964,84.0,Horror,5.4,Del Tenney,Roy Scheider,Helen Waren,Robert Milli,Margot Hartman,626,1960-1970,6.0
1370,Guns of Diablo,45,1964,91.0,Romance,5.6,Boris Sagal,Charles Bronson,Susan Oliver,Kurt Russell,Jan Merlin,667,1960-1970,6.0
1371,La cripta e l'incubo,74,1964,85.0,Horror,5.8,Camillo Mastrocinque,Christopher Lee,Adriana Ambesi,Ursula Davis,José Campos,817,1960-1970,6.0
1372,The Secret Invasion,75,1964,95.0,Action,5.9,Roger Corman,Stewart Granger,Raf Vallone,Mickey Rooney,Edd Byrnes,1006,1960-1970,6.0
1373,Bikini Beach,78,1964,99.0,Comedy,5.5,William Asher,Frankie Avalon,Annette Funicello,Martha Hyer,Don Rickles,1368,1960-1970,6.0
1374,The Earth Dies Screaming,50,1964,62.0,Horror,5.9,Terence Fisher,Willard Parker,Virginia Field,Dennis Price,Thorley Walters,1545,1960-1970,6.0
1375,Bedtime Story,51,1964,99.0,Comedy,6.8,Ralph Levy,Marlon Brando,David Niven,Shirley Jones,Dody Goodman,1757,1960-1970,6.0
1376,Les félins,70,1964,97.0,Crime,7.0,René Clément,Alain Delon,Jane Fonda,Lola Albright,Carl Studer,1960,1960-1970,6.0
1377,Kissin' Cousins,18,1964,96.0,Comedy,5.3,Gene Nelson,Elvis Presley,Arthur O'Connell,Glenda Farrell,Jack Albertson,1991,1960-1970,6.0
1378,Woman of Straw,56,1964,122.0,Crime,6.8,Basil Dearden,Gina Lollobrigida,Sean Connery,Ralph Richardson,Alexander Knox,2044,1960-1970,6.0
1379,The Carpetbaggers,66,1964,150.0,Drama,6.5,Edward Dmytryk,George Peppard,Alan Ladd,Carroll Baker,Robert Cummings,2045,1960-1970,6.0
1380,The Time Travelers,41,1964,84.0,Sci-Fi,5.1,Ib Melchior,Preston Foster,Philip Carey,Merry Anders,John Hoyt,2294,1960-1970,6.0
1381,The Moon-Spinners,32,1964,118.0,Adventure,6.7,James Neilson,Hayley Mills,Eli Wallach,Pola Negri,Peter McEnery,2351,1960-1970,6.0
1382,Circus World,69,1964,135.0,Drama,6.2,Henry Hathaway,John Wayne,Rita Hayworth,Claudia Cardinale,Lloyd Nolan,2409,1960-1970,6.0
1383,Lilith,44,1964,114.0,Drama,6.9,Robert Rossen,Warren Beatty,Jean Seberg,Peter Fonda,Kim Hunter,2585,1960-1970,6.0
1384,Roustabout,67,1964,101.0,Drama,6.0,John Rich,Elvis Presley,Barbara Stanwyck,Joan Freeman,Leif Erickson,2657,1960-1970,6.0
1385,The Horror of Party Beach,57,1964,78.0,Horror,3.2,Del Tenney,John Lyon,Alice Lyon,Allan Laurel,Eulabelle Moore,2660,1960-1970,6.0
1386,Lady in a Cage,60,1964,94.0,Drama,6.8,Walter Grauman,Olivia de Havilland,James Caan,Jennifer Billingsley,Rafael Campos,3077,1960-1970,6.0
1387,Sedotta e abbandonata,47,1964,118.0,Comedy,7.9,Pietro Germi,Saro Urzì,Stefania Sandrelli,Aldo Puglisi,Lando Buzzanca,3152,1960-1970,6.0
1388,The World of Henry Orient,76,1964,106.0,Comedy,6.7,George Roy Hill,Peter Sellers,Tippy Walker,Merrie Spaeth,Paula Prentiss,3261,1960-1970,6.0
1389,The Unsinkable Molly Brown,40,1964,128.0,Biography,6.7,Charles Walters,Debbie Reynolds,Harve Presnell,Ed Begley,Jack Kruschen,3484,1960-1970,6.0
1390,633 Squadron,11,1964,102.0,Drama,6.4,Walter Grauman,Cliff Robertson,George Chakiris,Maria Perschy,Harry Andrews,3687,1960-1970,6.0
1391,Sex and the Single Girl,17,1964,110.0,Comedy,6.5,Richard Quine,Lauren Bacall,Tony Curtis,Natalie Wood,Henry Fonda,3726,1960-1970,6.0
1392,36 Hours,64,1964,115.0,Thriller,7.3,George Seaton,James Garner,Eva Marie Saint,Rod Taylor,Werner Peters,3882,1960-1970,6.0
1393,What a Way to Go!,10,1964,111.0,Comedy,7.0,J. Lee Thompson,Shirley MacLaine,Paul Newman,Robert Mitchum,Dean Martin,4369,1960-1970,6.0
1394,Two Thousand Maniacs!,58,1964,83.0,Horror,5.9,Herschell Gordon Lewis,Connie Mason,William Kerwin,Jeffrey Allen,Shelby Livingston,4438,1960-1970,6.0
1395,7 Faces of Dr. Lao,65,1964,100.0,Fantasy,7.2,George Pal,Tony Randall,Barbara Eden,Arthur O'Connell,John Ericson,4599,1960-1970,6.0
1396,Robin and the 7 Hoods,82,1964,123.0,Comedy,6.5,Gordon Douglas,Frank Sinatra,Dean Martin,Sammy Davis Jr.,Bing Crosby,4780,1960-1970,6.0
1397,The Americanization of Emily,42,1964,115.0,Comedy,7.3,Arthur Hiller,James Garner,Julie Andrews,Melvyn Douglas,James Coburn,4856,1960-1970,6.0
1398,Man's Favorite Sport?,43,1964,120.0,Comedy,7.2,Howard Hawks,Rock Hudson,Paula Prentiss,Maria Perschy,John McGiver,4945,1960-1970,6.0
1399,The Incredible Mr. Limpet,38,1964,99.0,Animation,6.5,Arthur Lubin,Gerry Chiniquy,Robert McKimson,Hawley Pratt,Bill Tytla,4991,1960-1970,6.0
1400,Dead Ringer,61,1964,116.0,Crime,7.3,Paul Henreid,Bette Davis,Karl Malden,Peter Lawford,Philip Carey,5071,1960-1970,6.0
1401,Strait-Jacket,83,1964,93.0,Drama,6.8,William Castle,Joan Crawford,Diane Baker,Leif Erickson,Howard St. John,5103,1960-1970,6.0
1402,First Men in the Moon,81,1964,103.0,Adventure,6.6,Nathan Juran,Edward Judd,Martha Hyer,Lionel Jeffries,Miles Malleson,5322,1960-1970,6.0
1403,The Gorgon,72,1964,83.0,Horror,6.4,Terence Fisher,Christopher Lee,Peter Cushing,Richard Pasco,Barbara Shelley,5467,1960-1970,6.0
1404,Charulata,55,1964,117.0,Drama,8.2,Satyajit Ray,Soumitra Chatterjee,Madhabi Mukherjee,Shailen Mukherjee,Shyamal Ghoshal,5602,1960-1970,6.0
1405,San daikaijû: Chikyû saidai no kessen,80,1964,93.0,Action,6.6,Ishirô Honda,Yôsuke Natsuki,Yuriko Hoshi,Hiroshi Koizumi,Akiko Wakabayashi,6026,1960-1970,6.0
1406,Send Me No Flowers,46,1964,100.0,Comedy,7.0,Norman Jewison,Rock Hudson,Doris Day,Tony Randall,Paul Lynde,6216,1960-1970,6.0
1407,Robinson Crusoe on Mars,63,1964,110.0,Adventure,6.5,Byron Haskin,Paul Mantee,Victor Lundin,Adam West,The Woolly Monkey,6279,1960-1970,6.0
1408,La peau douce,77,1964,113.0,Drama,7.5,François Truffaut,Jean Desailly,Françoise Dorléac,Nelly Benedetti,Daniel Ceccaldi,7124,1960-1970,6.0
1409,Viva Las Vegas,2,1964,85.0,Comedy,6.4,George Sidney,Elvis Presley,Ann-Margret,Cesare Danova,William Demarest,7146,1960-1970,6.0
1410,The Naked Kiss,48,1964,90.0,Crime,7.3,Samuel Fuller,Constance Towers,Anthony Eisley,Michael Dante,Virginia Grey,7149,1960-1970,6.0
1411,"Kiss Me, Stupid",79,1964,125.0,Comedy,7.0,Billy Wilder,Dean Martin,Kim Novak,Ray Walston,Felicia Farr,7294,1960-1970,6.0
1412,The Killers,14,1964,93.0,Crime,7.0,Don Siegel,Lee Marvin,Angie Dickinson,John Cassavetes,Clu Gulager,7530,1960-1970,6.0
1413,Paris - When It Sizzles,36,1964,110.0,Comedy,6.4,Richard Quine,William Holden,Audrey Hepburn,Grégoire Aslan,Raymond Bussières,8053,1960-1970,6.0
1414,Mosura tai Gojira,68,1964,89.0,Adventure,6.6,Ishirô Honda,Akira Takarada,Yuriko Hoshi,Hiroshi Koizumi,Yû Fujiki,8152,1960-1970,6.0
1415,The Fall of the Roman Empire,26,1964,188.0,Drama,6.7,Anthony Mann,Sophia Loren,Stephen Boyd,Alec Guinness,James Mason,8520,1960-1970,6.0
1416,Le journal d'une femme de chambre,53,1964,97.0,Crime,7.5,Luis Buñuel,Jeanne Moreau,Georges Géret,Michel Piccoli,Daniel Ivernel,8603,1960-1970,6.0
1417,The Pawnbroker,35,1964,116.0,Drama,7.7,Sidney Lumet,Rod Steiger,Geraldine Fitzgerald,Brock Peters,Jaime Sánchez,8783,1960-1970,6.0
1418,Topkapi,37,1964,120.0,Adventure,7.0,Jules Dassin,Melina Mercouri,Peter Ustinov,Maximilian Schell,Robert Morley,9021,1960-1970,6.0
1419,Matrimonio all'italiana,52,1964,102.0,Comedy,7.5,Vittorio De Sica,Sophia Loren,Marcello Mastroianni,Aldo Puglisi,Tecla Scarano,9075,1960-1970,6.0
1420,Fantomas,59,1964,104.0,Comedy,7.0,André Hunebelle,Jean Marais,Louis de Funès,Mylène Demongeot,Jacques Dynam,9586,1960-1970,6.0
1421,6 donne per l'assassino,30,1964,88.0,Horror,7.2,Mario Bava,Cameron Mitchell,Eva Bartok,Thomas Reiner,Arianna Gorini,9651,1960-1970,6.0
1422,Father Goose,13,1964,118.0,Adventure,7.4,Ralph Nelson,Cary Grant,Leslie Caron,Trevor Howard,Jack Goode,9928,1960-1970,6.0
1423,The Night of the Iguana,20,1964,125.0,Drama,7.6,John Huston,Richard Burton,Ava Gardner,Deborah Kerr,Sue Lyon,10956,1960-1970,6.0
1424,Il vangelo secondo Matteo,49,1964,137.0,Biography,7.7,Pier Paolo Pasolini,Enrique Irazoqui,Margherita Caruso,Susanna Pasolini,Marcello Morante,11175,1960-1970,6.0
1425,Le gendarme de Saint-Tropez,62,1964,90.0,Comedy,7.2,Jean Girault,Louis de Funès,Geneviève Grad,Michel Galabru,Christian Marin,11544,1960-1970,6.0
1426,The Masque of the Red Death,27,1964,89.0,Horror,7.0,Roger Corman,Vincent Price,Hazel Court,Jane Asher,David Weston,13210,1960-1970,6.0
1427,"Hush...Hush, Sweet Charlotte",19,1964,133.0,Crime,7.6,Robert Aldrich,Bette Davis,Olivia de Havilland,Joseph Cotten,Agnes Moorehead,13301,1960-1970,6.0
1428,Seven Days in May,34,1964,118.0,Drama,7.9,John Frankenheimer,Burt Lancaster,Kirk Douglas,Fredric March,Ava Gardner,13309,1960-1970,6.0
1429,Becket,23,1964,148.0,Biography,7.8,Peter Glenville,Richard Burton,Peter O'Toole,John Gielgud,Gino Cervi,13867,1960-1970,6.0
1430,Il deserto rosso,29,1964,117.0,Drama,7.6,Michelangelo Antonioni,Monica Vitti,Richard Harris,Carlo Chionetti,Xenia Valderi,14393,1960-1970,6.0
1431,The Train,33,1964,133.0,Thriller,7.8,John Frankenheimer,Arthur Penn,Burt Lancaster,Paul Scofield,Jeanne Moreau,15104,1960-1970,6.0
1432,Kaidan,25,1964,183.0,Drama,8.0,Masaki Kobayashi,Rentarô Mikuni,Michiyo Aratama,Misako Watanabe,Kenjirô Ishiyama,16012,1960-1970,6.0
1433,Onibaba,24,1964,103.0,Drama,8.0,Kaneto Shindô,Nobuko Otowa,Jitsuko Yoshimura,Kei Satô,Jûkichi Uno,17088,1960-1970,6.0
1434,Suna no onna,16,1964,147.0,Drama,8.5,Hiroshi Teshigahara,Eiji Okada,Kyôko Kishida,Hiroko Itô,Kôji Mitsui,18125,1960-1970,6.0
1435,The Last Man on Earth,28,1964,86.0,Drama,6.8,Ubaldo Ragona,Sidney Salkow,Vincent Price,Franca Bettoia,Emma Danieli,18234,1960-1970,6.0
1436,Fail Safe,31,1964,112.0,Drama,8.0,Sidney Lumet,Henry Fonda,Walter Matthau,Fritz Weaver,Dan O'Herlihy,20545,1960-1970,6.0
1437,Alexis Zorbas,22,1964,142.0,Comedy,7.7,Michael Cacoyannis,Anthony Quinn,Alan Bates,Irene Papas,Lila Kedrova,21193,1960-1970,6.0
1438,Bande à part,39,1964,95.0,Comedy,7.7,Jean-Luc Godard,Anna Karina,Claude Brasseur,Danièle Girard,Louisa Colpeyn,23414,1960-1970,6.0
1439,Les parapluies de Cherbourg,12,1964,91.0,Drama,7.8,Jacques Demy,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Marc Michel,24852,1960-1970,6.0
1440,A Shot in the Dark,15,1964,102.0,Comedy,7.5,Blake Edwards,Peter Sellers,Elke Sommer,George Sanders,Herbert Lom,26593,1960-1970,6.0
1441,Zulu,9,1964,138.0,Drama,7.7,Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth,36964,1960-1970,6.0
1442,A Hard Day's Night,8,1964,87.0,Comedy,7.6,Richard Lester,John Lennon,Paul McCartney,George Harrison,Ringo Starr,41183,1960-1970,6.0
1443,Marnie,7,1964,130.0,Crime,7.1,Alfred Hitchcock,Tippi Hedren,Sean Connery,Martin Gabel,Louise Latham,46382,1960-1970,6.0
1444,My Fair Lady,4,1964,170.0,Drama,7.8,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,89040,1960-1970,6.0
1445,Mary Poppins,3,1964,139.0,Comedy,7.8,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,161381,1960-1970,6.0
1446,Goldfinger,6,1964,110.0,Action,7.7,Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,177568,1960-1970,6.0
1447,Per un pugno di dollari,5,1964,99.0,Action,8.0,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,202742,1960-1970,6.0
1448,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1,1964,95.0,Comedy,8.4,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,460228,1960-1970,6.0
1449,Sweet Smell of Sex,55,1965,70.0,Drama,4.2,Robert Downey Sr.,Lawrence Wolf,Tom O'Horgan,Elmer Kline,John Fodor,24,1960-1970,6.0
1450,Más bonita que ninguna,95,1965,114.0,Musical,6.3,Luis César Amadori,Rocío Dúrcal,Luigi Giuliani,Gracita Morales,Tomás Blanco,89,1960-1970,6.0
1451,Cup Fever,11,1965,63.0,Family,6.5,David Bracknell,Bernard Cribbins,Sonia Graham,Dermot Kelly,David Lodge,139,1960-1970,6.0
1452,Wild Seed,90,1965,99.0,Drama,6.6,Brian G. Hutton,Michael Parks,Celia Milius,Ross Elliott,Woody Chambliss,316,1960-1970,6.0
1453,You Must Be Joking!,59,1965,100.0,Comedy,6.0,Michael Winner,Michael Callan,Lionel Jeffries,Denholm Elliott,Wilfrid Hyde-White,325,1960-1970,6.0
1454,Never Too Late,49,1965,105.0,Comedy,6.5,Bud Yorkin,Paul Ford,Connie Stevens,Maureen O'Sullivan,Jim Hutton,416,1960-1970,6.0
1455,The Glory Guys,98,1965,112.0,Romance,6.1,Arnold Laven,Tom Tryon,Harve Presnell,Senta Berger,James Caan,764,1960-1970,6.0
1456,Arizona Raiders,81,1965,97.0,Western,6.0,William Witney,Audie Murphy,Michael Dante,Ben Cooper,Buster Crabbe,1030,1960-1970,6.0
1457,Sands of the Kalahari,93,1965,119.0,Adventure,6.8,Cy Endfield,Stanley Baker,Stuart Whitman,Susannah York,Harry Andrews,1240,1960-1970,6.0
1458,How to Stuff a Wild Bikini,63,1965,93.0,Comedy,4.7,William Asher,Annette Funicello,Dwayne Hickman,Brian Donlevy,Harvey Lembeck,1298,1960-1970,6.0
1459,Othello,85,1965,165.0,Drama,7.1,Stuart Burge,Laurence Olivier,Frank Finlay,Robert Lang,Anthony Nicholls,1369,1960-1970,6.0
1460,Once a Thief,5,1965,102.0,Crime,6.5,Ralph Nelson,Alain Delon,Ann-Margret,Van Heflin,Jack Palance,1447,1960-1970,6.0
1461,Tickle Me,58,1965,90.0,Comedy,5.9,Norman Taurog,Elvis Presley,Julie Adams,Jocelyn Lane,Jack Mullaney,1448,1960-1970,6.0
1462,Do Not Disturb,97,1965,102.0,Comedy,6.0,Ralph Levy,Doris Day,Rod Taylor,Hermione Baddeley,Sergio Fantoni,1524,1960-1970,6.0
1463,The Rounders,89,1965,85.0,Comedy,6.2,Burt Kennedy,Glenn Ford,Henry Fonda,Sue Ane Langdon,Hope Holiday,1556,1960-1970,6.0
1464,Harum Scarum,16,1965,95.0,Comedy,4.7,Gene Nelson,Elvis Presley,Mary Ann Mobley,Fran Jeffries,Michael Ansara,1565,1960-1970,6.0
1465,Kapurush,94,1965,70.0,Drama,7.7,Satyajit Ray,Soumitra Chatterjee,Madhabi Mukherjee,Haradhan Bannerjee,Santi Chatterjee,1650,1960-1970,6.0
1466,Il boia scarlatto,62,1965,87.0,Horror,4.7,Massimo Pupillo,Mickey Hargitay,Walter Brandi,Luisa Baratto,Ralph Zucker,1720,1960-1970,6.0
1467,Curse of the Fly,34,1965,86.0,Drama,5.3,Don Sharp,Brian Donlevy,George Baker,Carole Gray,Yvette Rees,1792,1960-1970,6.0
1468,Furankenshutain tai chitei kaijû Baragon,68,1965,90.0,Horror,5.5,Ishirô Honda,Nick Adams,Kumi Mizuno,Tadao Takashima,Yoshio Tsuchiya,1884,1960-1970,6.0
1469,Genghis Khan,74,1965,120.0,Adventure,5.9,Henry Levin,Stephen Boyd,Omar Sharif,James Mason,Eli Wallach,2006,1960-1970,6.0
1470,Dr. Goldfoot and the Bikini Machine,75,1965,88.0,Comedy,5.1,Norman Taurog,Ishirô Honda,Vincent Price,Frankie Avalon,Dwayne Hickman,2071,1960-1970,6.0
1471,Village of the Giants,70,1965,81.0,Comedy,3.6,Bert I. Gordon,Tommy Kirk,Johnny Crawford,Ron Howard,Joe Turkel,2101,1960-1970,6.0
1472,Girl Happy,53,1965,96.0,Comedy,6.4,Boris Sagal,Elvis Presley,Shelley Fabares,Harold J. Stone,Gary Crosby,2179,1960-1970,6.0
1473,Io la conoscevo bene,96,1965,115.0,Drama,7.7,Antonio Pietrangeli,Stefania Sandrelli,Mario Adorf,Jean-Claude Brialy,Joachim Fuchsberger,2224,1960-1970,6.0
1474,Fanatic,92,1965,97.0,Horror,6.3,Silvio Narizzano,Tallulah Bankhead,Stefanie Powers,Peter Vaughan,Maurice Kaufmann,2308,1960-1970,6.0
1475,The Satan Bug,84,1965,114.0,Crime,6.2,John Sturges,George Maharis,Richard Basehart,Anne Francis,Dana Andrews,2324,1960-1970,6.0
1476,Beach Blanket Bingo,39,1965,98.0,Comedy,5.7,William Asher,Frankie Avalon,Annette Funicello,Deborah Walley,Harvey Lembeck,2543,1960-1970,6.0
1477,Orgy of the Dead,31,1965,92.0,Fantasy,2.9,Stephen C. Apostolof,Criswell,Fawn Silver,Pat Barrington,William Bates,2614,1960-1970,6.0
1478,I Saw What You Did,13,1965,82.0,Crime,6.3,William Castle,Joan Crawford,John Ireland,Leif Erickson,Sara Lane,2767,1960-1970,6.0
1479,Carry On Cowboy,100,1965,93.0,Comedy,6.2,Gerald Thomas,Sidney James,Kenneth Williams,Jim Dale,Charles Hawtrey,2786,1960-1970,6.0
1480,"Boeing, Boeing",91,1965,102.0,Comedy,6.5,John Rich,Tony Curtis,Jerry Lewis,Dany Saval,Christiane Schmidtmer,2822,1960-1970,6.0
1481,Daikaijû Gamera,71,1965,78.0,Horror,5.1,Noriaki Yuasa,Eiji Funakoshi,Harumi Kiritachi,Junichiro Yamashita,Yoshiro Uchida,2876,1960-1970,6.0
1482,"Die, Monster, Die!",48,1965,80.0,Mystery,5.6,Daniel Haller,Boris Karloff,Nick Adams,Freda Jackson,Suzan Farmer,2968,1960-1970,6.0
1483,The War Lord,73,1965,123.0,Drama,6.7,Franklin J. Schaffner,Charlton Heston,Richard Boone,Rosemary Forsyth,Maurice Evans,3041,1960-1970,6.0
1484,The Sandpiper,51,1965,117.0,Drama,6.3,Vincente Minnelli,Elizabeth Taylor,Richard Burton,Eva Marie Saint,Charles Bronson,3063,1960-1970,6.0
1485,The Knack ...and How to Get It,83,1965,85.0,Comedy,6.5,Richard Lester,Rita Tushingham,Ray Brooks,Michael Crawford,Donal Donnelly,3080,1960-1970,6.0
1486,A Thousand Clowns,99,1965,118.0,Comedy,7.4,Fred Coe,Jason Robards,Barbara Harris,Martin Balsam,Gene Saks,3238,1960-1970,6.0
1487,The Loved One,82,1965,122.0,Comedy,7.1,Tony Richardson,Robert Morse,Jonathan Winters,Anjanette Comer,Rod Steiger,3320,1960-1970,6.0
1488,Inside Daisy Clover,60,1965,128.0,Drama,6.2,Robert Mulligan,Natalie Wood,Christopher Plummer,Robert Redford,Ruth Gordon,3459,1960-1970,6.0
1489,Viva Maria!,42,1965,120.0,Adventure,6.4,Louis Malle,Brigitte Bardot,Jeanne Moreau,George Hamilton,Paulette Dubost,3486,1960-1970,6.0
1490,Morituri,35,1965,123.0,Action,7.0,Bernhard Wicki,Marlon Brando,Yul Brynner,Janet Margolin,Trevor Howard,3555,1960-1970,6.0
1491,The Hallelujah Trail,41,1965,165.0,Comedy,6.6,John Sturges,Burt Lancaster,Lee Remick,Jim Hutton,Pamela Tiffin,3621,1960-1970,6.0
1492,Lord Jim,52,1965,154.0,Adventure,6.8,Richard Brooks,Peter O'Toole,James Mason,Curd Jürgens,Eli Wallach,3646,1960-1970,6.0
1493,La decima vittima,26,1965,92.0,Action,6.6,Elio Petri,Marcello Mastroianni,Ursula Andress,Elsa Martinelli,Salvo Randone,3940,1960-1970,6.0
1494,Dr. Who and the Daleks,86,1965,82.0,Adventure,5.7,Gordon Flemyng,Peter Cushing,Roy Castle,Jennie Linden,Roberta Tovey,3989,1960-1970,6.0
1495,King Rat,45,1965,134.0,Drama,7.5,Bryan Forbes,George Segal,Tom Courtenay,James Fox,Patrick O'Neal,4169,1960-1970,6.0
1496,Ten Little Indians,50,1965,91.0,Crime,6.7,George Pollock,Hugh O'Brian,Shirley Eaton,Fabian,Leo Genn,4415,1960-1970,6.0
1497,Operation Crossbow,40,1965,115.0,Action,6.6,Michael Anderson,Sophia Loren,George Peppard,Trevor Howard,John Mills,4433,1960-1970,6.0
1498,Mirage,66,1965,108.0,Mystery,7.3,Edward Dmytryk,Gregory Peck,Diane Baker,Walter Matthau,Kevin McCarthy,4687,1960-1970,6.0
1499,The Bedford Incident,87,1965,102.0,Drama,7.4,James B. Harris,Richard Widmark,Sidney Poitier,James MacArthur,Martin Balsam,4835,1960-1970,6.0
1500,The Naked Prey,57,1965,96.0,Adventure,7.3,Cornel Wilde,Cornel Wilde,Gert van den Bergh,Ken Gampu,Patrick Mynhardt,5067,1960-1970,6.0
1501,Ship of Fools,25,1965,149.0,Drama,7.1,Stanley Kramer,Vivien Leigh,Simone Signoret,José Ferrer,Lee Marvin,5543,1960-1970,6.0
1502,Terrore nello spazio,72,1965,88.0,Action,6.3,Mario Bava,Barry Sullivan,Norma Bengell,Ángel Aranda,Evi Marandi,5585,1960-1970,6.0
1503,The Nanny,80,1965,91.0,Mystery,7.2,Seth Holt,Bette Davis,Wendy Craig,Jill Bennett,James Villiers,5629,1960-1970,6.0
1504,Dr. Terror's House of Horrors,47,1965,98.0,Horror,6.7,Freddie Francis,Christopher Lee,Peter Cushing,Neil McCallum,Ursula Howells,5668,1960-1970,6.0
1505,Kaijû daisensô,43,1965,94.0,Action,6.3,Ishirô Honda,Nick Adams,Akira Takarada,Jun Tazaki,Akira Kubo,5783,1960-1970,6.0
1506,How to Murder Your Wife,64,1965,118.0,Comedy,6.6,Richard Quine,Jack Lemmon,Virna Lisi,Terry-Thomas,Eddie Mayehoff,5943,1960-1970,6.0
1507,Darling,37,1965,128.0,Drama,7.1,John Schlesinger,Julie Christie,Dirk Bogarde,Laurence Harvey,José Luis de Vilallonga,6218,1960-1970,6.0
1508,That Darn Cat!,12,1965,116.0,Comedy,6.8,Robert Stevenson,Hayley Mills,Dean Jones,Dorothy Provine,Roddy McDowall,6320,1960-1970,6.0
1509,Tini zabutykh predkiv,79,1965,97.0,Drama,8.0,Sergei Parajanov,Ivan Mikolaychuk,Larisa Kadochnikova,Tatyana Bestayeva,Spartak Bagashvili,6352,1960-1970,6.0
1510,Le bonheur,65,1965,80.0,Drama,7.6,Agnès Varda,Jean-Claude Drouot,Marie-France Boyer,Marcelle Faure-Bertin,Manon Lanclos,6487,1960-1970,6.0
1511,Voyna i mir,29,1965,422.0,Drama,8.3,Sergey Bondarchuk,Lyudmila Saveleva,Vyacheslav Tikhonov,Sergey Bondarchuk,Boris Zakhava,6593,1960-1970,6.0
1512,The Heroes of Telemark,78,1965,131.0,Action,6.5,Anthony Mann,Kirk Douglas,Richard Harris,Ulla Jacobsson,Michael Redgrave,6721,1960-1970,6.0
1513,The Agony and the Ecstasy,69,1965,138.0,Biography,7.2,Carol Reed,Charlton Heston,Rex Harrison,Diane Cilento,Harry Andrews,6727,1960-1970,6.0
1514,Major Dundee,23,1965,123.0,Adventure,6.7,Sam Peckinpah,Charlton Heston,Richard Harris,Jim Hutton,James Coburn,7291,1960-1970,6.0
1515,Guide,67,1965,183.0,Drama,8.4,Vijay Anand,Dev Anand,Waheeda Rehman,Leela Chitnis,Anwar Hussain,7655,1960-1970,6.0
1516,A Patch of Blue,61,1965,105.0,Drama,8.0,Guy Green,Sidney Poitier,Shelley Winters,Elizabeth Hartman,Wallace Ford,7748,1960-1970,6.0
1517,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,9,1965,138.0,Adventure,7.0,Ken Annakin,Stuart Whitman,Sarah Miles,James Fox,Alberto Sordi,7776,1960-1970,6.0
1518,Monster a Go-Go,88,1965,68.0,Horror,2.2,Bill Rebane,Herschell Gordon Lewis,Philip Morton,June Travis,George Perry,7879,1960-1970,6.0
1519,Lásky jedné plavovlásky,77,1965,88.0,Comedy,7.6,Milos Forman,Hana Brejchová,Vladimír Pucholt,Vladimír Mensík,Josef Sebánek,7942,1960-1970,6.0
1520,Shenandoah,27,1965,105.0,Drama,7.3,Andrew V. McLaglen,James Stewart,Doug McClure,Glenn Corbett,Patrick Wayne,8125,1960-1970,6.0
1521,Campanadas a medianoche,54,1965,119.0,Comedy,7.8,Orson Welles,Orson Welles,Jeanne Moreau,Margaret Rutherford,John Gielgud,8204,1960-1970,6.0
1522,In Harm's Way,14,1965,165.0,Drama,7.3,Otto Preminger,John Wayne,Kirk Douglas,Patricia Neal,Tom Tryon,8260,1960-1970,6.0
1523,Bunny Lake Is Missing,76,1965,107.0,Drama,7.3,Otto Preminger,Keir Dullea,Carol Lynley,Laurence Olivier,Martita Hunt,8444,1960-1970,6.0
1524,The Greatest Story Ever Told,22,1965,260.0,Biography,6.6,George Stevens,David Lean,Jean Negulesco,Max von Sydow,Dorothy McGuire,9518,1960-1970,6.0
1525,What's New Pussycat,38,1965,108.0,Comedy,6.2,Clive Donner,Peter Sellers,Peter O'Toole,Romy Schneider,Capucine,9702,1960-1970,6.0
1526,The Collector,20,1965,119.0,Drama,7.6,William Wyler,Terence Stamp,Samantha Eggar,Mona Washbourne,Maurice Dallimore,9910,1960-1970,6.0
1527,Giulietta degli spiriti,44,1965,137.0,Comedy,7.6,Federico Fellini,Giulietta Masina,Sandra Milo,Mario Pisu,Valentina Cortese,12653,1960-1970,6.0
1528,Von Ryan's Express,6,1965,117.0,Action,7.1,Mark Robson,Frank Sinatra,Trevor Howard,Raffaella Carrà,Brad Dexter,13037,1960-1970,6.0
1529,The Hill,56,1965,123.0,Drama,7.9,Sidney Lumet,Sean Connery,Harry Andrews,Ian Bannen,Alfred Lynch,13102,1960-1970,6.0
